strain,date,region,host,year,country,genotype,place_of_collection,author,accession
MH193173.1,1/9/2018,"LA,C",Alouatta sp.,2018,Brazil,SAmI,Brazil,"Souza,R., Hill,S., Theze,J., Claro,I., Santos,F., Cunha,M., Aguiar,R., Silveira,P., Nogueira,J., Salles,F., Rocco,I., Maeda,A., Vasami,F., Quick,J., Loman,N., Pybus,O., Macedo,F., Timenetsky,M., Alcantara,L., Sabino,E. and Faria,N.",
MK333798.1,1/8/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Delatorre,E., de Abreu,F.V.S., Ribeiro,I.P., Gomez,M.M., Dos Santos,A.A.C., Ferreira-de-Brito,A., Neves,M.S.A.S., Bonelly,I., de Miranda,R.M., Furtado,N.D., Raphael,L.M.S., da Silva,L.F.F., de Castro,M.G., Ramos,D.G., Romano,A.P.M., Kallas,E.G., Vicente,A.C.P., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MK583151.1,1/15/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Cunha,M.D.P., Duarte-Neto,A.N., Pour,S.Z., Ortiz-Baez,A.S., Cerny,J., Pereira,B.B.S., Braconi,C.T., Ho,Y.L., Perondi,B., Sztajnbok,J., Alves,V.A.F., Dolhnikoff,M., Holmes,E.C., Saldiva,P.H.N. and Zanotto,P.M.A.",
ON022745.1,1/24/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022295.1,4/23/2018,"LA,C",Haemagogus leucocelaenus,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
MK583147.1,1/12/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Cunha,M.D.P., Duarte-Neto,A.N., Pour,S.Z., Ortiz-Baez,A.S., Cerny,J., Pereira,B.B.S., Braconi,C.T., Ho,Y.L., Perondi,B., Sztajnbok,J., Alves,V.A.F., Dolhnikoff,M., Holmes,E.C., Saldiva,P.H.N. and Zanotto,P.M.A.",
MH030059.1,9/21/2017,"LA,C",Alouatta sp.,2017,Brazil,SAmI,Brazil,"Souza,R.P., Hill,S.C., Theze,J., Claro,I., Santos,F.C.P., Cunha,M.S., Aguiar,R.S., Silveira,P.P., Nogueira,J.S., Salles,F.C.S., Rocco,I.M., Maeda,A.Y., Vasami,F.G.S., Quick,J., Loman,N., Pybus,O.G., Macedo,F.L.L., Timenetsky,M.C.S.T., Alcantara,L.C.J., Sabino,E.C. and Faria,N.R.",
ON022306.1,5/13/2018,"LA,C",Alouatta,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
MW308135.1,1/20/2019,"LA,C",Homo sapiens,2019,Brazil,SAmI,Brazil,"Cunha,M.P., Duarte-Neto,A.N., Pour,S.Z., Pereira,B.B.S., Ho,Y.-L., Perondi,B., Sztajnbok,J., Alves,V.A.F., Dolhnikoff,M., Saldiva,P.H.N. and Zanotto,P.M.A.",
ON022319.1,2019-01-01 (2019-01-01 - 2019-01-28),"LA,C",Homo sapiens,2019,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022561.1,2/7/2019,"LA,C",Homo sapiens,2019,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022546.1,1/15/2019,"LA,C",Homo sapiens,2019,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022552.1,2/24/2019,"LA,C",Homo sapiens,2019,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022558.1,1/20/2019,"LA,C",Homo sapiens,2019,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022555.1,1/9/2019,"LA,C",Homo sapiens,2019,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
OP508590.1,1/31/2019,"LA,C",Homo sapiens,2019,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
ON022310.1,3/10/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022562.1,2/7/2019,"LA,C",Homo sapiens,2019,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022658.1,1/29/2018,"LA,C",Alouatta,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022548.1,1/19/2019,"LA,C",Homo sapiens,2019,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022549.1,1/29/2019,"LA,C",Homo sapiens,2019,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
OP508593.1,1/22/2019,"LA,C",Alouatta sp.,2019,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508594.1,3/21/2019,"LA,C",Alouatta sp.,2019,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508591.1,3/14/2019,"LA,C",Homo sapiens,2019,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508597.1,5/20/2019,"LA,C",Alouatta sp.,2019,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508592.1,2/18/2019,"LA,C",Alouatta sp.,2019,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508688.1,4/29/2019,"LA,C",Alouatta sp.,2019,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508675.1,2/1/2019,"LA,C",Haemagogus janthinomis/capricornii,2019,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508596.1,4/23/2019,"LA,C",Alouatta sp.,2019,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508598.1,5/27/2019,"LA,C",Alouatta sp.,2019,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508595.1,4/16/2019,"LA,C",Alouatta sp.,2019,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508640.1,8/14/2020,"LA,C",Alouatta sp.,2020,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508703.1,2/22/2021,"LA,C",Alouatta sp.,2021,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508616.1,1/28/2020,"LA,C",Alouatta guariba clamitans,2020,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508706.1,1/21/2020,"LA,C",Allouatta clamitans,2020,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508634.1,3/5/2020,"LA,C",Alouatta sp.,2020,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508615.1,1/26/2020,"LA,C",Alouatta guariba clamitans,2020,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508609.1,1/15/2020,"LA,C",Alouatta sp.,2020,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508625.1,2/25/2020,"LA,C",Alouatta sp.,2020,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508624.1,3/3/2020,"LA,C",Alouatta sp.,2020,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508641.1,8/14/2020,"LA,C",Alouatta sp.,2020,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508627.1,2/17/2020,"LA,C",Alouatta sp.,2020,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508714.1,1/12/2021,"LA,C",Alouatta sp.,2021,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508653.1,1/21/2021,"LA,C",Alouatta sp.,2021,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508656.1,2/14/2021,"LA,C",Alouatta sp.,2021,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508712.1,2/22/2021,"LA,C",Alouatta sp.,2021,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508649.1,12/10/2020,"LA,C",Alouatta sp.,2020,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508667.1,2/23/2021,"LA,C",Alouatta sp.,2021,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508708.1,2/22/2021,"LA,C",Alouatta sp.,2021,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508694.1,2/21/2021,"LA,C",Alouatta sp.,2021,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508651.1,12/30/2020,"LA,C",Alouatta sp.,2020,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508647.1,12/8/2020,"LA,C",Alouatta sp.,2020,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
MZ712145.1,2/19/2021,"LA,C",Alouatta guariba clamitans,2021,Brazil,SAmI,Brazil,"Andrade,M.S., Campos,F.S., Campos,A.A.S., Abreu,F.V.S., Melo,F.L., Seva,A.D.P., Cardoso,J.D.C., Dos Santos,E., Born,L.C., Silva,C.M.D.D., Muller,N.F.D., Oliveira,C.H., Silva,A.J.J.D., Simonini-Teixeira,D., Bernal-Valle,S., Mares-Guia,M.A.M.M., Albuquerque,G.R., Romano,A.P.M., Franco,A.C., Ribeiro,B.M., Roehe,P.M. and Almeida,M.A.B.",
OP508652.1,1/29/2021,"LA,C",Alouatta sp.,2021,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
OP508666.1,2/19/2021,"LA,C",Alouatta sp.,2021,Brazil,SAmI,Brazil,"Giovanetti,M., Fonseca,V., Lourenco,J., Xavier,J., Adelino,T., Oliveira,C., Fritsch,H., Guimaraes,N., Zanluca,C., Ribeiro,A.C., Alcantara,L.C.J. and Nunes,C.D.",
